ID,Título,Autor,Ano da edição,Páginas,Editora,Gênero,Estrelas,Já leram,Lendo,Querendo ler,Relendo,Abandonos,Resenhas,Homens,Mulheres,Avaliação,Sentimento,Imagem
358,Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,2000,394,Rocco,Fantasia,4.7,608704,10375,165126,1129,2234,11027,22%,78%,"O livro ""Harry Potter e o Prisioneiro de Azkaban"" é aclamado pelos leitores por sua história envolvente, cheia de mistérios e reviravoltas. A evolução dos personagens, a introdução de novos elementos como os Dementadores e o Vira-Tempo, e a profundidade dos laços de amizade e lealdade explorados ao longo da trama são aspectos destacados. A atmosfera mais sombria e madura, o desenvolvimento dos personagens como Harry, Hermione e Rony, e a revelação de segredos do passado contribuem para tornar este livro um dos favoritos da saga, cativando os leitores e deixando-os ansiosos para continuar a acompanhar as aventuras de Harry Potter.",Bom,https://img.skoob.com.br/9lpbG1RXkwpxytyEdYW4ETRm-xQ=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/358/HARRY_POTTER_E_O_PRISIONEIRO_D_1451338416358SK1451338416B.jpg
359,Harry Potter e a Ordem da Fênix,J.K. Rowling,2003,704,Rocco,Fantasia,4.6,511607,11213,217662,1027,2719,7750,22%,78%,"As avaliações sobre o livro ""Harry Potter e a Ordem da Fênix"" são bastante variadas, com alguns leitores destacando a tristeza e a raiva provocadas pela trama, enquanto outros elogiam a evolução dos personagens e a profundidade da narrativa. Alguns apontam a lentidão no início do livro, mas ressaltam que a história se torna mais envolvente conforme avança, revelando segredos e emoções intensas. A morte de Sirius Black é um ponto marcante para muitos leitores, gerando sentimentos de perda e revolta. A personagem Dolores Umbridge é amplamente detestada, contribuindo para a complexidade das emoções despertadas pela leitura. No geral, a obra é reconhecida por sua riqueza de detalhes, emoções e reviravoltas, conquistando tanto os fãs mais fervorosos quanto aqueles que encontraram desafios na leitura.",Bom,https://img.skoob.com.br/cKs_lZ8NAKVc5P1P_pRUN5v_nh0=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/359/HARRY_POTTER_E_A_ORDEM_DA_FENIX_1343593292B.jpg
374,Eragon,Christopher Paolini,2005,468,Rocco Jovens Leitores,Fantasia,4.2,64115,1790,38312,150,1843,1008,37%,63%,"O livro ""Eragon"" é aclamado por sua narrativa envolvente e repleta de detalhes que transportam o leitor para um mundo de fantasia épica, onde dragões, magia e aventuras se entrelaçam em uma trama repleta de ação e emoção. Os personagens cativantes, como Eragon e Saphira, são elogiados por sua evolução ao longo da história, enquanto o universo criado pelo autor é descrito como rico e bem desenvolvido. Apesar de algumas ressalvas em relação a partes descritivas e momentos arrastados, as avaliações destacam o potencial da obra e o impacto positivo que ela causa nos leitores, despertando o desejo de continuar acompanhando a saga do protagonista.",Bom,https://img.skoob.com.br/8S6Dl6m18e-SBR5N9Mg8dBBLXOE=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/374/ERAGON_1658800819374SK-V11658800821B.jpg
379,O Príncipe,Maquiavel,1996,136,Paz e Terra,Clássico,3.9,45489,3305,18409,191,2307,1325,44%,56%,"O livro ""O Príncipe"" de Maquiavel recebeu uma variedade de avaliações, desde elogios pela clareza e relevância de seus ensinamentos até críticas pela dificuldade de leitura e conteúdo controverso. Alguns leitores destacaram a atualidade dos princípios políticos abordados, enquanto outros ressaltaram a importância histórica e a necessidade de adaptação para a realidade atual. Apesar das opiniões divergentes, a obra é reconhecida como essencial para compreender a política e estratégias de governo, proporcionando insights sobre o poder, liderança e a natureza humana.",Bom,https://img.skoob.com.br/CoRCxZAE4AIK1FPy6YAma4hZjLU=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/379/O_PRINCIPE_1422234098379SK1422234098B.jpg
462,O Sobrinho do Mago,C. S. Lewis,1997,184,Martins Fontes,Fantasia,4.3,31216,930,4786,77,232,2227,28%,72%,"As avaliações sobre o livro ""O Sobrinho do Mago"" da saga As Crônicas de Nárnia são extremamente positivas, destacando a forma como a história é escrita, a riqueza de detalhes nos cenários, a construção dos personagens e as referências bíblicas presentes. Muitos leitores se encantaram com a origem de Nárnia e a criação do mundo, além de apreciarem a escrita leve e envolvente de C.S. Lewis. A obra é descrita como mágica, poética e profunda, capaz de cativar leitores de todas as idades e despertar reflexões sobre temas como criação, sacrifício e espiritualidade. A edição da Harper Collins também é elogiada, tornando a experiência de leitura ainda mais especial e encantadora.",Bom,https://img.skoob.com.br/I0vaFi5noiuamg9Fr3MbuXtGKCM=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/462/O_SOBRINHO_DO_MAGO_1420397653462SK1420397653B.jpg
464,Razão e sensibilidade,Jane Austen,2009,233,Martin Claret,Romance,4.1,38844,3573,33661,92,1845,2330,6%,94%,"As avaliações sobre o livro ""Razão e Sensibilidade"" de Jane Austen são diversas e abrangem opiniões que vão desde críticas à lentidão do desenvolvimento da história até elogios à profundidade das personagens e à crítica social presente na obra. Alguns leitores destacam a evolução das irmãs Elinor e Marianne, enquanto outros apontam o romance como ponto fraco. A escrita envolvente da autora e as reviravoltas no enredo são mencionadas como pontos positivos, embora haja quem prefira outras obras da autora. No geral, a maioria dos leitores reconhece a qualidade do livro, mas há divergências quanto ao seu lugar no ranking das obras de Jane Austen.",Mediano,https://img.skoob.com.br/BQkvrfSY8IVca7JucDEnWnKJBaM=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/464/RAZAO_E_SENSIBILIDADE_1665252952464SK-V11665252955B.jpg
509,O Hobbit,J. R. R. Tolkien,2002,297,Martins Fontes,Fantasia,4.5,165108,8648,101149,556,2924,4191,38%,62%,"O livro ""O Hobbit"" de J.R.R. Tolkien é aclamado por sua narrativa envolvente e rica em detalhes, que transporta o leitor para um mundo de fantasia repleto de aventuras, personagens marcantes e mensagens inspiradoras. A jornada do protagonista Bilbo Bolseiro, sua evolução ao longo da história e os encontros memoráveis com diversas criaturas fazem desta obra uma leitura cativante e emocionante, que encanta tanto os fãs de fantasia quanto aqueles que estão descobrindo o universo criado pelo autor pela primeira vez.",Bom,https://img.skoob.com.br/rTkVUH7iuDF1pfOm1ivTdU3H5mA=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/509/O_HOBBIT_1340671361B.jpg
528,Água para Elefantes,Sara Gruen,2007,272,Arqueiro,Romance,4.0,41548,1225,54592,54,2029,1103,11%,89%,"O livro ""Água para Elefantes"", de Sara Gruen, recebeu avaliações variadas dos leitores. Alguns destacaram a intensidade e envolvimento da história, a reflexão sobre a vida no circo e as emoções despertadas pelos personagens. Outros apontaram aspectos negativos, como o desenvolvimento do final e questões problemáticas presentes na narrativa. No entanto, a maioria concordou que a trama é cativante, emocionante e capaz de prender a atenção do leitor, explorando temas como amor proibido, abuso, lealdade e brutalidade, em um cenário de circo na América dos anos 1930.",Bom,https://img.skoob.com.br/KZNglZ8X1XGkHIZA4Arc6mA4t7I=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/528/GUA_PARA_ELEFANTES_1360957006B.jpg
533,Os Miseráveis,Victor Hugo,2014,1511,Martin Claret,Clássico,4.4,60980,8169,73087,230,1400,2321,22%,78%,"As avaliações sobre o livro ""Os Miseráveis"" são diversas e abrangentes, abordando desde a riqueza da narrativa e dos personagens até críticas sobre a extensão e detalhamento excessivos da obra. Muitos leitores destacam a profundidade emocional e reflexiva da história, que trata de temas como desigualdade social, redenção, compaixão e injustiça. A escrita rebuscada de Victor Hugo é elogiada, assim como a complexidade dos protagonistas, como Jean Valjean e Cosette. Por outro lado, algumas ressalvas são feitas em relação às digressões políticas e históricas do autor, que podem tornar a leitura cansativa em determinados momentos. No entanto, a maioria dos avaliadores recomenda a leitura do livro como uma experiência enriquecedora e emocionante, capaz de provocar reflexões profundas sobre a condição humana e a sociedade.",Bom,https://img.skoob.com.br/8q-Vlic9XdOgrTdr4u_LISP2iXA=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/533/OS_MISERAVEIS_1396718729B.jpg
534,Senhora,José de Alencar,1999,164,FTD,Romance,3.8,69903,1661,11482,107,2363,1484,18%,82%,"O livro ""Senhora"" de José de Alencar é um romance ambientado na Rio de Janeiro do século 19, que aborda temas como aparência, dinheiro, interesse, amor e ódio. Com uma linguagem rebuscada e poética, a obra narra a história de Aurélia, uma protagonista feminista e revolucionária para a época, que busca vingança contra seu antigo noivo, Fernando, por tê-la abandonado por uma mulher mais rica. A trama apresenta um enredo envolvente, com detalhes descritivos que aguçam a imaginação do leitor, explorando a complexidade das relações humanas e sociais. Apesar de dividir opiniões pela linguagem antiga e pela narrativa densa, ""Senhora"" é considerado um dos romances mais emblemáticos do autor, destacando-se pela construção de personagens ricos em camadas psicológicas e por abordar questões relevantes da época, como casamento por interesse e a mercantilização das relações afetivas.",Bom,https://img.skoob.com.br/0Wad4dXmlB2ptIIStQHtn1CsIpk=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/534/SENHORA_1241563672B.jpg
562,Harry Potter e o Enigma do Príncipe,J.K. Rowling,2005,472,Rocco,Fantasia,4.6,498639,5317,215269,790,1404,7288,22%,78%,"O livro ""Harry Potter e o Enigma do Príncipe"" é elogiado por sua trama envolvente, desenvolvimento dos personagens, revelações sobre o passado de Voldemort e aprofundamento nas relações amorosas dos protagonistas. Os leitores destacam a riqueza de detalhes, a emoção presente na narrativa e a decepção com a adaptação cinematográfica, ressaltando a importância do livro para compreender a história e os desafios enfrentados pelos personagens na reta final da saga.",Bom,https://img.skoob.com.br/6ajKrkUugO84BRw37NOcjCuNtXQ=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/562/HARRY_POTTER_E_O_ENIGMA_DO_PRI_1424051110562SK1424051110B.jpg
564,O Fantasma da Ópera,Gaston Leroux,2000,328,Ática,Fantasia,4.1,13968,1189,12010,59,619,1061,16%,84%,"O livro ""O Fantasma da Ópera"" de Gaston Leroux é uma obra que mistura romance, mistério e terror de forma envolvente e intrigante. A história do Fantasma, Christine e Raoul é contada com detalhes que transportam o leitor para o cenário da Ópera de Paris, explorando temas como obsessão, amor não correspondido e tragédia. As diferentes perspectivas sobre o personagem do Fantasma, suas ações e motivações, despertam reflexões sobre a natureza humana e a busca por aceitação e redenção. Mesmo com opiniões divergentes sobre a narrativa e os personagens, a trama cativa e surpreende, deixando uma marca profunda nos leitores.",Bom,https://img.skoob.com.br/73VysRVQIPT0cniaeoMWy3LuSZE=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/564/O_FANTASMA_DA_PERA_1525981341564SK1525981342B.jpg
567,Eclipse,Stephenie Meyer,2009,464,Intrínseca,Fantasia,3.8,347127,2377,27104,428,3103,2786,9%,91%,"As avaliações sobre o livro ""Eclipse"" da saga Crepúsculo são bastante variadas, com opiniões que vão desde nostalgia e amor pela trilogia até críticas à banalização do assédio e à dependência emocional dos personagens. Alguns elogiam a fidelidade do filme ao livro, enquanto outros destacam a chateação com a protagonista Bella e a preferência por personagens secundários. Há também quem aponte a enrolação na trama, a irritação com os triângulos amorosos e a sensação de que a história poderia ter sido melhor desenvolvida. No entanto, a maioria dos leitores reconhece que, apesar dos pontos negativos, a leitura de ""Eclipse"" ainda desperta sentimentos nostálgicos e mantém o interesse na saga.",Mediano,https://img.skoob.com.br/u6IqlpX3_KqMw_J6c7jZUhh-o1Q=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/567/ECLIPSE__1394254584B.jpg
573,E Não Sobrou Nenhum,Agatha Christie,2014,400,Globo Livros,Mistério,4.5,93123,3562,55695,118,1148,7354,18%,82%,"O livro ""E não sobrou nenhum"" de Agatha Christie recebeu avaliações diversas dos leitores, desde elogios pela trama envolvente e surpreendente até críticas em relação ao final e à quantidade de personagens. Muitos destacaram a habilidade da autora em prender a atenção do leitor, a complexidade do enredo e a surpresa do desfecho, enquanto outros apontaram que o desfecho não atendeu às expectativas ou que a trama se tornou previsível em determinado momento. No entanto, a maioria dos leitores concordou que o livro é uma leitura envolvente e cheia de suspense, com reviravoltas inesperadas que desafiam as expectativas do leitor até a última página.",Bom,https://img.skoob.com.br/82NRDgocmdqHN2l2QO1xcJaT9p0=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/573/E_NO_SOBROU_NENHUM_609548547B.jpg
587,Um estudo em vermelho,Sir Arthur Conan Doyle,2010,192,L&PM Editores,Mistério,4.2,55740,1731,9526,100,764,2126,31%,69%,"O livro ""Um Estudo em Vermelho"" recebeu avaliações diversas, com leitores elogiando a fluidez da leitura, a narrativa envolvente e a genialidade do detetive Sherlock Holmes, enquanto outros apontaram a narrativa confusa, a falta de conexão entre os elementos da história e momentos controversos. Apesar das opiniões divergentes, a obra foi reconhecida como um clássico da literatura policial, marcando a introdução do icônico detetive e sua habilidade dedutiva, despertando o interesse de leitores tanto pela trama intrigante quanto pelos aspectos históricos e culturais abordados.",Bom,https://img.skoob.com.br/8lN2SVKVY12f8KA1FDvoH2F5jYw=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/587/UM_ESTUDO_EM_VERMELHO_1562766760587SK1562766765B.jpg
612,Deuses americanos,Neil Gaiman,2016,576,Intrínseca,Fantasia,4.1,24798,2950,26719,56,1340,1077,45%,55%,"""Deuses Americanos"", de Neil Gaiman, é um livro que dividiu opiniões entre os leitores. Com uma trama envolvente e personagens complexos, a obra mistura mitologias antigas com a realidade moderna dos Estados Unidos. Alguns elogiam a originalidade e a profundidade da história, enquanto outros apontam para a extensão desnecessária e a falta de conexão em alguns trechos. Com reviravoltas surpreendentes e críticas sociais pertinentes, o livro oferece uma experiência marcante e desafiadora para aqueles que se aventuram em suas páginas.",Bom,https://img.skoob.com.br/WjCMmSToueY15T4fFaCyafQd4fw=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/612/DEUSES_AMERICANOS_1474572740612SK1474572740B.jpg
618,O Castelo Animado,Diana Wynne Jones,2022,368,Galera Record,Fantasia,4.5,18525,2228,18816,98,394,3009,9%,91%,"O livro ""O Castelo Animado"" recebeu diversas avaliações positivas, com leitores elogiando a história envolvente e cheia de magia, aprofundamento dos personagens, desenvolvimento do relacionamento entre Sophie e Howl, e a ambientação rica e detalhada. Apesar das diferenças em relação ao filme do Studio Ghibli, os leitores destacaram a criatividade da autora Diana Wynne Jones e a capacidade de transportar o leitor para um mundo fantástico repleto de aventuras e emoções.",Bom,https://img.skoob.com.br/e8sY4aYXc2OdfJSTTNT1kLDN-5U=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/618/O_CASTELO_ANIMADO_1620071364618SK-V11620071366B.jpg
639,Animais Fantásticos & Onde Habitam,J.K. Rowling,2001,64,Rocco,Fantasia,3.9,61583,772,20172,43,309,1154,23%,77%,"O livro ""Animais Fantásticos & Onde Habitam"" recebeu avaliações variadas, com alguns leitores destacando a riqueza de informações sobre as criaturas mágicas do mundo de Harry Potter e a imersão proporcionada pela leitura, enquanto outros apontaram a falta de ilustrações e a monotonia em algumas partes. Alguns apreciaram a narrativa envolvente e os comentários dos personagens, enquanto outros acharam o livro mais adequado como item de colecionador do universo de Harry Potter. No geral, as opiniões se dividem entre aqueles que consideram a obra divertida e criativa, e aqueles que acreditam que poderia ter sido mais explorada e aprofundada em alguns aspectos.",Mediano,https://img.skoob.com.br/lBGPFbGODCLUw_rFVeLoMCErsNI=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/639/ANIMAIS_FANTASTICOS_E_ONDE_HABITAM_1372564389B.jpg
640,Quadribol Através dos Séculos,J.K. Rowling,2001,64,Rocco,Fantasia,3.8,52821,485,17232,25,299,1088,23%,77%,"O livro ""Quadribol Através dos Séculos"" recebeu avaliações variadas, com alguns leitores elogiando a forma como a obra expande o universo mágico de Harry Potter, apresentando detalhes sobre a história, regras e evolução do esporte de quadribol. Outros leitores, no entanto, acharam a leitura maçante, sem graça ou cansativa, apontando que o livro poderia ter sido mais envolvente. Apesar disso, muitos fãs da saga consideraram a obra uma adição interessante e nostálgica, proporcionando uma imersão no mundo bruxo e no universo do quadribol.",Mediano,https://img.skoob.com.br/wsESiMbr9HOrQPrgTwbAUspw6Fo=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/640/QUADRIBOL_ATRAVES_DOS_SECULOS_1236631152B.jpg
641,Mau Começo,Lemony Snicket,2001,152,Companhia das Letras,Infantil,4.1,52412,811,13522,70,407,1915,21%,79%,"O livro ""Desventuras em Série - Mau Começo"" recebeu uma variedade de avaliações positivas, com leitores elogiando a história envolvente e cativante dos irmãos Baudelaire, a escrita sarcástica do autor e a fidelidade à série de televisão. Alguns apontaram a falta de profundidade nos personagens, enquanto outros destacaram a rapidez da leitura e a trama trágica, porém divertida. No geral, as resenhas destacam a qualidade da narrativa e recomendam a leitura para aqueles que buscam uma experiência literária única e envolvente.",Bom,https://img.skoob.com.br/Ptn46qzs_hKvGCK7HISS_Bw8Fyk=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/641/DESVENTURAS_EM_SERIE_MAU_COMECO_1358432884B.jpg
652,A Sala dos Répteis,Lemony Snicket,2001,184,Companhia das Letras,Infantil,4.1,34478,529,7559,28,229,1036,24%,76%,"As avaliações sobre o livro ""A Sala dos Répteis"" são bastante positivas, destacando a escrita fluida e envolvente de Lemony Snicket, a dinâmica dos personagens e a forma como a trama se desenrola. Os leitores elogiam a originalidade da história, mesmo diante de situações trágicas e personagens irritantes, como o Sr. Poe e o Conde Olaf. A morte do tio Monty é mencionada como um momento marcante e triste, enquanto a relação dos órfãos Baudelaire é ressaltada como um ponto forte da narrativa. A série é descrita como viciante, cativante e cheia de suspense, deixando os leitores ansiosos para continuar acompanhando as desventuras dos protagonistas.",Bom,https://img.skoob.com.br/0oguh_-YH1l0AWkMzypZo1UNZFY=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/652/A_SALA_DOS_REPTEIS_1485264514652SK1485264514B.jpg
693,O Pequeno Príncipe,Antoine de Saint-Exupéry,2015,96,Agir,Infantil,4.5,837305,12608,188524,2446,4239,17688,17%,83%,"O livro ""O Pequeno Príncipe"" é amplamente elogiado por sua capacidade de cativar leitores de todas as idades, mesmo sendo direcionado ao público infantil. Com reflexões filosóficas profundas, a obra convida à reflexão sobre questões essenciais da vida, como amizade, amor, responsabilidade e valores humanos. A narrativa poética e as ilustrações delicadas proporcionam uma leitura emocionante e inspiradora, que ressoa com os leitores, levando-os a enxergar o mundo com os olhos da simplicidade e da inocência. A história do pequeno príncipe e suas aventuras por diferentes planetas, cada um habitado por personagens simbólicos, oferece lições valiosas sobre a importância da infância, da amizade verdadeira e do cuidado com aquilo que cativamos. Considerado atemporal, o livro continua a encantar e emocionar gerações, deixando uma marca indelével nos corações daqueles que se permitem ser tocados por sua mensagem profunda e universal.",Bom,https://img.skoob.com.br/IoKS6BiuWFHfzYzjs_qhD6f5ZPE=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/693/O_PEQUENO_PRINCIPE_1441584936693SK1441584936B.jpg
695,Triste Fim de Policarpo Quaresma,Lima Barreto,2017,191,Edições Câmara,Romance,3.6,36757,1668,11902,64,2142,1339,30%,70%,"O livro ""O Triste Fim de Policarpo Quaresma"" recebeu avaliações positivas que destacam a reflexão sobre o patriotismo, injustiças sociais, críticas à sociedade e ao governo, além de abordar temas como identidade nacional e idealismo. As críticas à obra incluem a lentidão em algumas partes, desnecessidades em certos trechos e a dificuldade de leitura em determinadas passagens. No entanto, a maioria dos leitores elogia a escrita acessível de Lima Barreto, a ironia presente na narrativa e a atualidade das questões abordadas, tornando a leitura do livro uma experiência enriquecedora e reflexiva sobre a realidade do Brasil.",Bom,https://img.skoob.com.br/F2pytmez6FRGRsVTD6E_YDsMOG8=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/695/TRISTE_FIM_DE_POLICARPO_QUARES_1500348688695SK1500348689B.jpg
719,O fim da eternidade,Isaac Asimov,2019,256,Aleph,Ficção Científica,4.4,11024,592,8639,12,246,1380,48%,52%,"O livro ""O Fim da Eternidade"" de Isaac Asimov recebeu avaliações variadas, com alguns leitores destacando a genialidade da obra, a complexidade da trama envolvendo viagens no tempo e os plot twists surpreendentes. Por outro lado, houve críticas em relação à construção dos personagens, especialmente no desenvolvimento do romance e na profundidade das relações. No geral, a obra foi considerada envolvente, com um final impactante e reflexivo, sendo recomendada para fãs de ficção científica que buscam uma leitura desafiadora e repleta de reviravoltas.",Bom,https://img.skoob.com.br/zCJU2_I3YAA8X_w-uuEcEmriLhg=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/719/O_FIM_DA_ETERNIDADE_1673039057719SK-V11673039058B.jpg
736,O Ladrão de Raios,Rick Riordan,2008,400,Intrínseca,Fantasia,4.4,520200,16391,139887,2702,4162,16796,22%,78%,"O livro ""Percy Jackson e o Ladrão de Raios"" recebeu uma série de avaliações positivas, com leitores elogiando a aventura inovadora, a riqueza dos detalhes, a escrita fluida e envolvente, o humor dos personagens e a forma como a mitologia grega é abordada. Muitos destacaram a importância do livro em suas vidas, mencionando que foi o responsável por despertar o interesse pela leitura ou por relembrar a infância. Alguns leitores ressaltaram a diferença entre o livro e o filme, apontando as mudanças nas características dos personagens. A maioria dos comentários recomenda a leitura da obra, destacando a qualidade da narrativa e a capacidade de prender a atenção do leitor.",Bom,https://img.skoob.com.br/nCgvnRmlrfbjlXRTuNkkXAgJW74=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/736/O_LADRAO_DE_RAIOS_1364235342B.jpg
752,A Bússola de Ouro,Philip Pullman,2007,365,Objetiva,Fantasia,4.2,35309,1052,24120,78,1012,1071,30%,70%,"O livro ""A Bússola de Ouro"" recebeu uma variedade de avaliações, desde elogios à trama envolvente e personagens bem construídos, até críticas sobre o início lento e a protagonista Lyra. Os leitores destacaram a complexidade do universo criado por Philip Pullman, a mistura de fantasia e críticas sociais, e a evolução da protagonista ao longo da história. Alguns apreciaram a abordagem de temas sérios de forma encantadora, enquanto outros se decepcionaram com o desfecho ou acharam a escrita um pouco arrastada. No geral, a obra foi considerada uma leitura cativante e intrigante, com potencial para conquistar fãs de literatura fantástica.",Bom,https://img.skoob.com.br/nziuMuZ_smhnl3rRNwC-Tay9TYI=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/752/A_BUSSOLA_DE_OURO_1442357273752SK1442357273B.jpg
770,Vidas secas,Graciliano Ramos,2005,175,Record,Romance,4.0,118267,2610,19663,183,2156,3059,27%,73%,"O livro ""Vidas Secas"" de Graciliano Ramos recebeu uma série de avaliações positivas, destacando a narrativa impactante, a representação da vida no sertão nordestino, a humanização dos personagens e a reflexão sobre a miséria e a esperança. Os leitores ressaltaram a linguagem seca e realista, a emoção provocada pela história da família de retirantes e a importância da obra para compreender as dificuldades enfrentadas pelos mais pobres no Brasil. As diferentes perspectivas dos personagens, a morte da cachorra Baleia e a crítica social presente no livro foram elementos que tocaram os leitores e os fizeram refletir sobre as desigualdades e a natureza humana.",Bom,https://img.skoob.com.br/p0Tg8eOdcRazndn9PPmAQRO0SPI=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/770/VIDAS_SECAS_1426915024770SK1426915024B.jpg
774,Como fazer amigos e influenciar pessoas,Dale Carnegie,2003,318,Companhia Editora Nacional,Autoajuda,4.3,24769,5446,19058,248,1207,1410,43%,57%,"O livro ""Como Fazer Amigos e Influenciar Pessoas"" de Dale Carnegie recebeu avaliações variadas, com alguns leitores destacando a importância das lições práticas e exemplos úteis para melhorar a comunicação e os relacionamentos interpessoais, enquanto outros apontaram que a leitura pode se tornar um pouco cansativa devido à repetição de exemplos e conceitos considerados óbvios. No entanto, a maioria concorda que o livro é uma leitura essencial para aqueles que buscam aprimorar suas habilidades sociais, liderança e influência sobre as pessoas no dia a dia.",Bom,https://img.skoob.com.br/Ymo0VndFhRlB7bB1R0HNNOObsTI=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/774/COMO_FAZER_AMIGOS_E_INFLUENCIAR_PESSOAS_1405701473B.jpg
797,Memórias Póstumas de Brás Cubas,Machado de Assis,2012,200,Martin Claret,Romance,4.1,165238,6646,37189,391,4561,3899,27%,73%,"O livro ""Memórias Póstumas de Brás Cubas"", de Machado de Assis, recebeu uma variedade de avaliações, desde elogios pela genialidade da escrita e da narrativa até críticas pela dificuldade de compreensão e pela personalidade do protagonista. Alguns leitores destacaram a ironia, a profundidade psicológica e a crítica social presentes na obra, enquanto outros ressaltaram a fluidez da leitura e a forma inovadora como a história é contada. Em meio a opiniões diversas, fica evidente que a obra de Machado de Assis continua a cativar leitores de diferentes idades e experiências literárias, mantendo-se como um clássico da literatura brasileira.",Bom,https://img.skoob.com.br/DlGpfdr_gBZogqjgwrmaQvK36KY=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/797/MEMORIAS_POSTUMAS_DE_BRAS_CUBAS_1371957341B.jpg
819,Orgulho e Preconceito,Jane Austen,1992,352,Civilização Brasileira,Romance,4.5,160764,16897,110634,919,8741,10684,8%,92%,"""Orgulho e Preconceito"" de Jane Austen é uma obra-prima que encanta e envolve os leitores com sua narrativa envolvente, personagens cativantes e críticas sociais atemporais. A história do romance entre Elizabeth Bennet e Mr. Darcy, permeada por orgulho, preconceito e transformações pessoais, é apresentada de forma magistral pela autora, que combina elegância na escrita, ironia afiada e reflexões profundas sobre a sociedade georgiana. A evolução dos personagens, as relações familiares e as nuances dos relacionamentos amorosos são exploradas de maneira sutil e perspicaz, tornando o livro uma leitura obrigatória para os amantes de clássicos literários e romances atemporais.",Bom,https://img.skoob.com.br/HJ4RDg2IaaG5e8r6eCxpqCWZnFk=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/819/ORGULHO_E_PRECONCEITO_1665253239819SK-V11665253243B.jpg
828,O Segredo de Emma Corrigan,Sophie Kinsella,2005,384,Record,Romance,4.1,25901,375,10710,24,296,1219,2%,98%,"O livro ""O Segredo de Emma Corrigan"" recebeu avaliações variadas, desde elogios pela leveza e diversão da leitura até críticas pela falta de profundidade nos personagens e na trama. Alguns leitores destacaram a comédia presente na história, enquanto outros apontaram a protagonista como ingênua e sem personalidade. A autora Sophie Kinsella foi elogiada por sua escrita envolvente e por proporcionar momentos de descontração aos leitores, mesmo que a trama siga um padrão clichê de romance. No geral, o livro foi descrito como uma leitura agradável e indicada para quem busca entretenimento leve e descontraído.",Bom,https://img.skoob.com.br/21QX1-HjWCYzJuNF2I4ALelU2as=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/828/_O_SEGREDO_DE_EMMA_CORRIGAN_1230591532B.jpg
